model,prompt_id,tag,count,persistence_class
SA3M,ANI_001,wrong_source,0,not_observed
SA3M,ANI_001,missing_secondary_event,0,not_observed
SA3M,ANI_001,extra_event,0,not_observed
SA3M,ANI_001,wrong_count,5,persistent
SA3M,ANI_001,wrong_attribute,0,not_observed
SA3M,ANI_001,wrong_temporal_order,0,not_observed
SA3M,ANI_001,artifact_noise,0,not_observed
SA3M,ANI_001,abrupt_cutoff,0,not_observed
SA3M,ANI_001,clipping,0,not_observed
SA3M,ANI_001,silence,0,not_observed
SA3M,ANI_001,texture_ambiguity,1,sporadic
SA3M,ANI_001,other,0,not_observed
SA3M,ANI_002,wrong_source,1,sporadic
SA3M,ANI_002,missing_secondary_event,0,not_observed
SA3M,ANI_002,extra_event,0,not_observed
SA3M,ANI_002,wrong_count,0,not_observed
SA3M,ANI_002,wrong_attribute,4,persistent
SA3M,ANI_002,wrong_temporal_order,0,not_observed
SA3M,ANI_002,artifact_noise,0,not_observed
SA3M,ANI_002,abrupt_cutoff,0,not_observed
SA3M,ANI_002,clipping,0,not_observed
SA3M,ANI_002,silence,0,not_observed
SA3M,ANI_002,texture_ambiguity,1,sporadic
SA3M,ANI_002,other,0,not_observed
SA3M,ANI_003,wrong_source,1,sporadic
SA3M,ANI_003,missing_secondary_event,0,not_observed
SA3M,ANI_003,extra_event,0,not_observed
SA3M,ANI_003,wrong_count,2,unstable
SA3M,ANI_003,wrong_attribute,2,unstable
SA3M,ANI_003,wrong_temporal_order,0,not_observed
SA3M,ANI_003,artifact_noise,0,not_observed
SA3M,ANI_003,abrupt_cutoff,0,not_observed
SA3M,ANI_003,clipping,0,not_observed
SA3M,ANI_003,silence,0,not_observed
SA3M,ANI_003,texture_ambiguity,0,not_observed
SA3M,ANI_003,other,2,unstable
SA3M,ANI_004,wrong_source,0,not_observed
SA3M,ANI_004,missing_secondary_event,3,unstable
SA3M,ANI_004,extra_event,0,not_observed
SA3M,ANI_004,wrong_count,0,not_observed
SA3M,ANI_004,wrong_attribute,2,unstable
SA3M,ANI_004,wrong_temporal_order,0,not_observed
SA3M,ANI_004,artifact_noise,0,not_observed
SA3M,ANI_004,abrupt_cutoff,0,not_observed
SA3M,ANI_004,clipping,0,not_observed
SA3M,ANI_004,silence,0,not_observed
SA3M,ANI_004,texture_ambiguity,1,sporadic
SA3M,ANI_004,other,0,not_observed
SA3M,ANI_005,wrong_source,0,not_observed
SA3M,ANI_005,missing_secondary_event,5,persistent
SA3M,ANI_005,extra_event,0,not_observed
SA3M,ANI_005,wrong_count,0,not_observed
SA3M,ANI_005,wrong_attribute,0,not_observed
SA3M,ANI_005,wrong_temporal_order,0,not_observed
SA3M,ANI_005,artifact_noise,4,persistent
SA3M,ANI_005,abrupt_cutoff,0,not_observed
SA3M,ANI_005,clipping,0,not_observed
SA3M,ANI_005,silence,0,not_observed
SA3M,ANI_005,texture_ambiguity,0,not_observed
SA3M,ANI_005,other,0,not_observed
SA3M,DLY_001,wrong_source,0,not_observed
SA3M,DLY_001,missing_secondary_event,0,not_observed
SA3M,DLY_001,extra_event,0,not_observed
SA3M,DLY_001,wrong_count,0,not_observed
SA3M,DLY_001,wrong_attribute,3,unstable
SA3M,DLY_001,wrong_temporal_order,0,not_observed
SA3M,DLY_001,artifact_noise,0,not_observed
SA3M,DLY_001,abrupt_cutoff,1,sporadic
SA3M,DLY_001,clipping,0,not_observed
SA3M,DLY_001,silence,0,not_observed
SA3M,DLY_001,texture_ambiguity,0,not_observed
SA3M,DLY_001,other,0,not_observed
SA3M,DLY_002,wrong_source,0,not_observed
SA3M,DLY_002,missing_secondary_event,0,not_observed
SA3M,DLY_002,extra_event,0,not_observed
SA3M,DLY_002,wrong_count,1,sporadic
SA3M,DLY_002,wrong_attribute,1,sporadic
SA3M,DLY_002,wrong_temporal_order,0,not_observed
SA3M,DLY_002,artifact_noise,0,not_observed
SA3M,DLY_002,abrupt_cutoff,0,not_observed
SA3M,DLY_002,clipping,0,not_observed
SA3M,DLY_002,silence,0,not_observed
SA3M,DLY_002,texture_ambiguity,0,not_observed
SA3M,DLY_002,other,0,not_observed
SA3M,DLY_003,wrong_source,0,not_observed
SA3M,DLY_003,missing_secondary_event,4,persistent
SA3M,DLY_003,extra_event,0,not_observed
SA3M,DLY_003,wrong_count,0,not_observed
SA3M,DLY_003,wrong_attribute,0,not_observed
SA3M,DLY_003,wrong_temporal_order,0,not_observed
SA3M,DLY_003,artifact_noise,0,not_observed
SA3M,DLY_003,abrupt_cutoff,0,not_observed
SA3M,DLY_003,clipping,0,not_observed
SA3M,DLY_003,silence,0,not_observed
SA3M,DLY_003,texture_ambiguity,0,not_observed
SA3M,DLY_003,other,0,not_observed
SA3M,DLY_004,wrong_source,0,not_observed
SA3M,DLY_004,missing_secondary_event,0,not_observed
SA3M,DLY_004,extra_event,0,not_observed
SA3M,DLY_004,wrong_count,0,not_observed
SA3M,DLY_004,wrong_attribute,0,not_observed
SA3M,DLY_004,wrong_temporal_order,0,not_observed
SA3M,DLY_004,artifact_noise,0,not_observed
SA3M,DLY_004,abrupt_cutoff,0,not_observed
SA3M,DLY_004,clipping,0,not_observed
SA3M,DLY_004,silence,0,not_observed
SA3M,DLY_004,texture_ambiguity,0,not_observed
SA3M,DLY_004,other,0,not_observed
SA3M,DLY_005,wrong_source,0,not_observed
SA3M,DLY_005,missing_secondary_event,3,unstable
SA3M,DLY_005,extra_event,0,not_observed
SA3M,DLY_005,wrong_count,0,not_observed
SA3M,DLY_005,wrong_attribute,1,sporadic
SA3M,DLY_005,wrong_temporal_order,0,not_observed
SA3M,DLY_005,artifact_noise,0,not_observed
SA3M,DLY_005,abrupt_cutoff,0,not_observed
SA3M,DLY_005,clipping,0,not_observed
SA3M,DLY_005,silence,0,not_observed
SA3M,DLY_005,texture_ambiguity,0,not_observed
SA3M,DLY_005,other,0,not_observed
SA3M,DLY_006,wrong_source,0,not_observed
SA3M,DLY_006,missing_secondary_event,3,unstable
SA3M,DLY_006,extra_event,1,sporadic
SA3M,DLY_006,wrong_count,0,not_observed
SA3M,DLY_006,wrong_attribute,1,sporadic
SA3M,DLY_006,wrong_temporal_order,0,not_observed
SA3M,DLY_006,artifact_noise,3,unstable
SA3M,DLY_006,abrupt_cutoff,1,sporadic
SA3M,DLY_006,clipping,0,not_observed
SA3M,DLY_006,silence,0,not_observed
SA3M,DLY_006,texture_ambiguity,1,sporadic
SA3M,DLY_006,other,0,not_observed
SA3M,FLY_001,wrong_source,0,not_observed
SA3M,FLY_001,missing_secondary_event,0,not_observed
SA3M,FLY_001,extra_event,0,not_observed
SA3M,FLY_001,wrong_count,5,persistent
SA3M,FLY_001,wrong_attribute,3,unstable
SA3M,FLY_001,wrong_temporal_order,0,not_observed
SA3M,FLY_001,artifact_noise,0,not_observed
SA3M,FLY_001,abrupt_cutoff,0,not_observed
SA3M,FLY_001,clipping,0,not_observed
SA3M,FLY_001,silence,0,not_observed
SA3M,FLY_001,texture_ambiguity,0,not_observed
SA3M,FLY_001,other,0,not_observed
SA3M,FLY_002,wrong_source,0,not_observed
SA3M,FLY_002,missing_secondary_event,0,not_observed
SA3M,FLY_002,extra_event,0,not_observed
SA3M,FLY_002,wrong_count,0,not_observed
SA3M,FLY_002,wrong_attribute,1,sporadic
SA3M,FLY_002,wrong_temporal_order,0,not_observed
SA3M,FLY_002,artifact_noise,0,not_observed
SA3M,FLY_002,abrupt_cutoff,0,not_observed
SA3M,FLY_002,clipping,0,not_observed
SA3M,FLY_002,silence,0,not_observed
SA3M,FLY_002,texture_ambiguity,0,not_observed
SA3M,FLY_002,other,0,not_observed
SA3M,FLY_003,wrong_source,0,not_observed
SA3M,FLY_003,missing_secondary_event,0,not_observed
SA3M,FLY_003,extra_event,0,not_observed
SA3M,FLY_003,wrong_count,0,not_observed
SA3M,FLY_003,wrong_attribute,0,not_observed
SA3M,FLY_003,wrong_temporal_order,0,not_observed
SA3M,FLY_003,artifact_noise,0,not_observed
SA3M,FLY_003,abrupt_cutoff,0,not_observed
SA3M,FLY_003,clipping,0,not_observed
SA3M,FLY_003,silence,0,not_observed
SA3M,FLY_003,texture_ambiguity,0,not_observed
SA3M,FLY_003,other,0,not_observed
SA3M,FLY_004,wrong_source,2,unstable
SA3M,FLY_004,missing_secondary_event,0,not_observed
SA3M,FLY_004,extra_event,0,not_observed
SA3M,FLY_004,wrong_count,1,sporadic
SA3M,FLY_004,wrong_attribute,2,unstable
SA3M,FLY_004,wrong_temporal_order,0,not_observed
SA3M,FLY_004,artifact_noise,1,sporadic
SA3M,FLY_004,abrupt_cutoff,0,not_observed
SA3M,FLY_004,clipping,0,not_observed
SA3M,FLY_004,silence,0,not_observed
SA3M,FLY_004,texture_ambiguity,0,not_observed
SA3M,FLY_004,other,0,not_observed
SA3M,FLY_005,wrong_source,5,persistent
SA3M,FLY_005,missing_secondary_event,1,sporadic
SA3M,FLY_005,extra_event,0,not_observed
SA3M,FLY_005,wrong_count,1,sporadic
SA3M,FLY_005,wrong_attribute,0,not_observed
SA3M,FLY_005,wrong_temporal_order,3,unstable
SA3M,FLY_005,artifact_noise,1,sporadic
SA3M,FLY_005,abrupt_cutoff,0,not_observed
SA3M,FLY_005,clipping,0,not_observed
SA3M,FLY_005,silence,0,not_observed
SA3M,FLY_005,texture_ambiguity,1,sporadic
SA3M,FLY_005,other,0,not_observed
SA3M,FLY_006,wrong_source,0,not_observed
SA3M,FLY_006,missing_secondary_event,0,not_observed
SA3M,FLY_006,extra_event,0,not_observed
SA3M,FLY_006,wrong_count,0,not_observed
SA3M,FLY_006,wrong_attribute,1,sporadic
SA3M,FLY_006,wrong_temporal_order,0,not_observed
SA3M,FLY_006,artifact_noise,1,sporadic
SA3M,FLY_006,abrupt_cutoff,0,not_observed
SA3M,FLY_006,clipping,0,not_observed
SA3M,FLY_006,silence,0,not_observed
SA3M,FLY_006,texture_ambiguity,1,sporadic
SA3M,FLY_006,other,0,not_observed
SA3M,MAG_001,wrong_source,2,unstable
SA3M,MAG_001,missing_secondary_event,0,not_observed
SA3M,MAG_001,extra_event,0,not_observed
SA3M,MAG_001,wrong_count,0,not_observed
SA3M,MAG_001,wrong_attribute,1,sporadic
SA3M,MAG_001,wrong_temporal_order,0,not_observed
SA3M,MAG_001,artifact_noise,2,unstable
SA3M,MAG_001,abrupt_cutoff,0,not_observed
SA3M,MAG_001,clipping,0,not_observed
SA3M,MAG_001,silence,0,not_observed
SA3M,MAG_001,texture_ambiguity,0,not_observed
SA3M,MAG_001,other,0,not_observed
SA3M,MAG_002,wrong_source,0,not_observed
SA3M,MAG_002,missing_secondary_event,0,not_observed
SA3M,MAG_002,extra_event,0,not_observed
SA3M,MAG_002,wrong_count,0,not_observed
SA3M,MAG_002,wrong_attribute,1,sporadic
SA3M,MAG_002,wrong_temporal_order,0,not_observed
SA3M,MAG_002,artifact_noise,1,sporadic
SA3M,MAG_002,abrupt_cutoff,0,not_observed
SA3M,MAG_002,clipping,0,not_observed
SA3M,MAG_002,silence,0,not_observed
SA3M,MAG_002,texture_ambiguity,0,not_observed
SA3M,MAG_002,other,0,not_observed
SA3M,MAG_003,wrong_source,0,not_observed
SA3M,MAG_003,missing_secondary_event,1,sporadic
SA3M,MAG_003,extra_event,0,not_observed
SA3M,MAG_003,wrong_count,0,not_observed
SA3M,MAG_003,wrong_attribute,1,sporadic
SA3M,MAG_003,wrong_temporal_order,0,not_observed
SA3M,MAG_003,artifact_noise,0,not_observed
SA3M,MAG_003,abrupt_cutoff,0,not_observed
SA3M,MAG_003,clipping,0,not_observed
SA3M,MAG_003,silence,0,not_observed
SA3M,MAG_003,texture_ambiguity,0,not_observed
SA3M,MAG_003,other,0,not_observed
SA3M,MAG_004,wrong_source,0,not_observed
SA3M,MAG_004,missing_secondary_event,0,not_observed
SA3M,MAG_004,extra_event,0,not_observed
SA3M,MAG_004,wrong_count,0,not_observed
SA3M,MAG_004,wrong_attribute,0,not_observed
SA3M,MAG_004,wrong_temporal_order,0,not_observed
SA3M,MAG_004,artifact_noise,0,not_observed
SA3M,MAG_004,abrupt_cutoff,0,not_observed
SA3M,MAG_004,clipping,0,not_observed
SA3M,MAG_004,silence,0,not_observed
SA3M,MAG_004,texture_ambiguity,0,not_observed
SA3M,MAG_004,other,0,not_observed
SA3M,MAG_005,wrong_source,0,not_observed
SA3M,MAG_005,missing_secondary_event,0,not_observed
SA3M,MAG_005,extra_event,0,not_observed
SA3M,MAG_005,wrong_count,0,not_observed
SA3M,MAG_005,wrong_attribute,1,sporadic
SA3M,MAG_005,wrong_temporal_order,0,not_observed
SA3M,MAG_005,artifact_noise,1,sporadic
SA3M,MAG_005,abrupt_cutoff,0,not_observed
SA3M,MAG_005,clipping,0,not_observed
SA3M,MAG_005,silence,0,not_observed
SA3M,MAG_005,texture_ambiguity,0,not_observed
SA3M,MAG_005,other,0,not_observed
SA3M,MEC_001,wrong_source,0,not_observed
SA3M,MEC_001,missing_secondary_event,0,not_observed
SA3M,MEC_001,extra_event,0,not_observed
SA3M,MEC_001,wrong_count,0,not_observed
SA3M,MEC_001,wrong_attribute,0,not_observed
SA3M,MEC_001,wrong_temporal_order,0,not_observed
SA3M,MEC_001,artifact_noise,1,sporadic
SA3M,MEC_001,abrupt_cutoff,0,not_observed
SA3M,MEC_001,clipping,0,not_observed
SA3M,MEC_001,silence,0,not_observed
SA3M,MEC_001,texture_ambiguity,0,not_observed
SA3M,MEC_001,other,1,sporadic
SA3M,MEC_002,wrong_source,2,unstable
SA3M,MEC_002,missing_secondary_event,0,not_observed
SA3M,MEC_002,extra_event,0,not_observed
SA3M,MEC_002,wrong_count,4,persistent
SA3M,MEC_002,wrong_attribute,0,not_observed
SA3M,MEC_002,wrong_temporal_order,0,not_observed
SA3M,MEC_002,artifact_noise,0,not_observed
SA3M,MEC_002,abrupt_cutoff,1,sporadic
SA3M,MEC_002,clipping,0,not_observed
SA3M,MEC_002,silence,0,not_observed
SA3M,MEC_002,texture_ambiguity,0,not_observed
SA3M,MEC_002,other,1,sporadic
SA3M,MEC_003,wrong_source,0,not_observed
SA3M,MEC_003,missing_secondary_event,0,not_observed
SA3M,MEC_003,extra_event,0,not_observed
SA3M,MEC_003,wrong_count,0,not_observed
SA3M,MEC_003,wrong_attribute,2,unstable
SA3M,MEC_003,wrong_temporal_order,0,not_observed
SA3M,MEC_003,artifact_noise,3,unstable
SA3M,MEC_003,abrupt_cutoff,0,not_observed
SA3M,MEC_003,clipping,0,not_observed
SA3M,MEC_003,silence,0,not_observed
SA3M,MEC_003,texture_ambiguity,0,not_observed
SA3M,MEC_003,other,0,not_observed
SA3M,MEC_004,wrong_source,0,not_observed
SA3M,MEC_004,missing_secondary_event,1,sporadic
SA3M,MEC_004,extra_event,0,not_observed
SA3M,MEC_004,wrong_count,0,not_observed
SA3M,MEC_004,wrong_attribute,0,not_observed
SA3M,MEC_004,wrong_temporal_order,0,not_observed
SA3M,MEC_004,artifact_noise,0,not_observed
SA3M,MEC_004,abrupt_cutoff,1,sporadic
SA3M,MEC_004,clipping,0,not_observed
SA3M,MEC_004,silence,0,not_observed
SA3M,MEC_004,texture_ambiguity,0,not_observed
SA3M,MEC_004,other,0,not_observed
SA3M,MEC_005,wrong_source,0,not_observed
SA3M,MEC_005,missing_secondary_event,0,not_observed
SA3M,MEC_005,extra_event,0,not_observed
SA3M,MEC_005,wrong_count,1,sporadic
SA3M,MEC_005,wrong_attribute,0,not_observed
SA3M,MEC_005,wrong_temporal_order,0,not_observed
SA3M,MEC_005,artifact_noise,0,not_observed
SA3M,MEC_005,abrupt_cutoff,0,not_observed
SA3M,MEC_005,clipping,0,not_observed
SA3M,MEC_005,silence,0,not_observed
SA3M,MEC_005,texture_ambiguity,0,not_observed
SA3M,MEC_005,other,1,sporadic
SA3M,MEC_006,wrong_source,0,not_observed
SA3M,MEC_006,missing_secondary_event,0,not_observed
SA3M,MEC_006,extra_event,2,unstable
SA3M,MEC_006,wrong_count,0,not_observed
SA3M,MEC_006,wrong_attribute,0,not_observed
SA3M,MEC_006,wrong_temporal_order,0,not_observed
SA3M,MEC_006,artifact_noise,0,not_observed
SA3M,MEC_006,abrupt_cutoff,0,not_observed
SA3M,MEC_006,clipping,0,not_observed
SA3M,MEC_006,silence,0,not_observed
SA3M,MEC_006,texture_ambiguity,0,not_observed
SA3M,MEC_006,other,0,not_observed
SA3M,NAT_001,wrong_source,0,not_observed
SA3M,NAT_001,missing_secondary_event,0,not_observed
SA3M,NAT_001,extra_event,0,not_observed
SA3M,NAT_001,wrong_count,0,not_observed
SA3M,NAT_001,wrong_attribute,0,not_observed
SA3M,NAT_001,wrong_temporal_order,0,not_observed
SA3M,NAT_001,artifact_noise,0,not_observed
SA3M,NAT_001,abrupt_cutoff,2,unstable
SA3M,NAT_001,clipping,0,not_observed
SA3M,NAT_001,silence,0,not_observed
SA3M,NAT_001,texture_ambiguity,0,not_observed
SA3M,NAT_001,other,0,not_observed
SA3M,NAT_002,wrong_source,0,not_observed
SA3M,NAT_002,missing_secondary_event,0,not_observed
SA3M,NAT_002,extra_event,0,not_observed
SA3M,NAT_002,wrong_count,0,not_observed
SA3M,NAT_002,wrong_attribute,0,not_observed
SA3M,NAT_002,wrong_temporal_order,0,not_observed
SA3M,NAT_002,artifact_noise,0,not_observed
SA3M,NAT_002,abrupt_cutoff,0,not_observed
SA3M,NAT_002,clipping,0,not_observed
SA3M,NAT_002,silence,0,not_observed
SA3M,NAT_002,texture_ambiguity,0,not_observed
SA3M,NAT_002,other,0,not_observed
SA3M,NAT_003,wrong_source,0,not_observed
SA3M,NAT_003,missing_secondary_event,0,not_observed
SA3M,NAT_003,extra_event,0,not_observed
SA3M,NAT_003,wrong_count,0,not_observed
SA3M,NAT_003,wrong_attribute,0,not_observed
SA3M,NAT_003,wrong_temporal_order,0,not_observed
SA3M,NAT_003,artifact_noise,1,sporadic
SA3M,NAT_003,abrupt_cutoff,0,not_observed
SA3M,NAT_003,clipping,0,not_observed
SA3M,NAT_003,silence,0,not_observed
SA3M,NAT_003,texture_ambiguity,0,not_observed
SA3M,NAT_003,other,0,not_observed
SA3M,NAT_004,wrong_source,2,unstable
SA3M,NAT_004,missing_secondary_event,0,not_observed
SA3M,NAT_004,extra_event,0,not_observed
SA3M,NAT_004,wrong_count,0,not_observed
SA3M,NAT_004,wrong_attribute,3,unstable
SA3M,NAT_004,wrong_temporal_order,0,not_observed
SA3M,NAT_004,artifact_noise,1,sporadic
